time[s], wr_x[mm], wr_y[mm] 
7.4918,618.3722,500.3356
7.5016,620.9370,498.5246
7.5197,623.4921,496.7699
7.5215,626.0686,495.3257
7.5318,628.3972,493.5373
7.5505,630.8733,491.9901
7.5515,633.2344,490.5100
7.5615,635.5980,488.6790
7.5978,640.5769,485.5067
7.5985,643.0677,483.7027
7.6017,645.6800,482.1409
7.6115,648.2226,480.5113
7.6216,650.8098,478.7476
7.6315,653.4815,477.2073
7.6526,655.9894,475.4212
7.6533,658.5056,473.6431
7.6617,660.9247,472.0180
7.6839,663.3532,470.3272
7.6849,665.8396,468.7888
7.6918,668.3110,467.2308
7.7153,670.7666,465.5307
7.7160,673.2219,463.7974
7.7217,675.6340,461.9963
7.7463,678.0976,460.2413
7.7472,680.5545,458.4529
7.7516,683.0728,456.6512
7.7618,685.5916,454.9116
7.7778,688.1092,453.2411
7.7818,690.6255,451.5928
7.7916,693.1079,449.8755
7.8093,695.5933,448.3065
7.8115,697.9623,446.6936
7.8217,700.3884,445.0146
7.8404,702.8374,443.4543
7.8426,705.2763,441.8550
7.8516,707.7852,440.1765
7.8719,710.2876,438.4510
7.8726,712.8279,436.7053
7.8818,715.3679,434.9615
7.9031,717.8093,433.1212
7.9041,720.2550,431.4917
7.9116,722.6550,429.8907
7.9350,724.9854,428.2659
7.9358,727.3241,426.6857
7.9417,729.7173,424.9962
7.9662,732.1934,423.2231
7.9670,734.6978,421.6030
7.9715,737.1934,419.8726
7.9817,739.5938,417.9081
7.9915,742.0970,416.2026
8.0018,744.5585,414.5054
8.0115,746.9552,412.5983
8.0217,749.4720,410.9486
8.0316,751.7997,409.1286
8.0418,754.1602,407.2914
8.0599,756.6992,405.7293
8.0617,759.0663,403.9055
8.0715,761.5321,402.0430
8.0919,764.0766,400.3669
8.0927,766.5035,398.5324
8.1018,769.1299,396.8421
8.1281,771.7730,395.1319
8.1290,774.2623,393.2228
8.1316,776.7850,391.5607
8.1418,779.3086,389.8784
8.1517,781.6683,387.9631
8.1686,784.3091,386.3010
8.1715,786.9389,384.5471
8.1818,789.3883,382.5606
8.1999,791.9608,380.9987
8.2030,794.2679,379.2817
8.2116,796.5359,377.4312
8.2317,799.0168,376.0157
8.2325,801.2821,374.2853
8.2418,803.6330,372.5117
8.2627,806.1052,371.0846
8.2637,808.3555,369.2852
8.2715,810.6939,367.4556
8.2818,813.2274,365.9917
8.2916,815.5970,364.2048
8.3018,818.0776,362.3112
8.3256,820.6606,360.8434
8.3266,823.0370,359.0564
8.3316,825.4398,357.2615
8.3417,827.8323,355.6275
8.3516,830.1381,353.8739
8.3618,832.5322,352.3214
8.3716,834.8886,350.7181
8.3881,837.1826,348.9105
8.3915,839.5726,347.2210
8.4017,841.8225,345.2922
8.4192,844.1339,343.5807
8.4217,846.4386,341.8100
8.4315,848.8047,340.1454
8.4508,851.4609,338.3047
8.4517,853.9487,336.6919
8.4617,856.4718,334.9562
8.4818,858.8098,333.0773
8.4827,861.3270,331.5428
8.4915,863.7348,329.9147
8.5139,865.9716,328.1321
8.5146,868.4644,326.6701
8.5217,870.9173,325.0212
8.5450,873.3025,323.1428
8.5459,875.8171,321.5293
8.5515,878.2543,319.8041
8.5617,880.6806,317.9739
8.5715,883.0966,316.2937
8.5816,885.4155,314.5502
8.5915,887.7267,312.7649
8.6017,890.1357,311.1970
8.6116,892.4474,309.5257
8.6216,894.7609,307.8048
8.6425,897.1682,306.2000
8.6434,899.4994,304.4556
8.6514,901.8860,302.6786
8.6734,904.2998,300.9767
8.6741,906.6086,299.2508
8.6816,908.9948,297.5532
